type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,street_name,latitude,longitude,dist_to_center_km,geo_cluster,density_listings_per_km2
Co-op for sale,315000,2,1.0,2184.207862,"Manhattan, NY 10037",New York,New York County,New York,Manhattan,40.8101633,-73.9387972,12.216586411586395,14,7.480515990623168
Condo for sale,695000,2,2.0,889.0,"New York, NY 10027",New York,New York County,New York,Manhattan,40.8037811,-73.9462459,11.299414572818433,14,9.616356923835605
Condo for sale,2700000,3,3.0,1398.0,"Brooklyn, NY 11222",New York,Kings County,Brooklyn,Greenpoint,40.7320824,-73.9610327,4.354024185640987,12,1.0673590978064567
Co-op for sale,499000,2,2.0,2184.207862,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7762825,-73.9453865,8.712258376992784,0,25.63203533393683
House for sale,2500000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11215",United States,New York,Kings County,Brooklyn,40.6637132,-73.9806843,5.8607334328694325,5,7.463666345247566
House for sale,709999,4,2.0,2184.207862,"Springfield Gardens, NY 11413",United States,New York,Queens County,Queens,40.6736664,-73.7504403,21.981089932666972,4,1.0663979574796323
Co-op for sale,133000,1,1.0,630.0,"Bronx, NY 10467",New York,Bronx County,The Bronx,East Bronx,40.8720291,-73.8695302,21.106176533624204,3,4.278452318938536
Co-op for sale,520000,1,1.0,730.0,"New York, NY 10021",New York,New York County,New York,Manhattan,40.7685551,-73.9522955,7.675147645529207,0,19.221133632502035
Condo for sale,1250000,1,1.0,855.0,"New York, NY 10128",New York,New York County,New York,Manhattan,40.7791164,-73.9482901,8.832450972003855,0,25.63203533393683
Co-op for sale,239000,1,1.0,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7318103,-73.8443526,13.785472434938452,6,13.875668271483937
Condo for sale,568000,1,1.0,680.0,"Queens, NY 11374",United States,New York,Queens County,Queens,40.733048,-73.8612179,12.407040616072052,6,14.943027369290393
Co-op for sale,1099500,2,1.0,2184.207862,"Manhattan, NY 10014",New York,New York County,New York,Manhattan,40.731826,-74.0091497,2.1321838622001765,12,23.481900151712175
Co-op for sale,1425000,2,2.0,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,Manhattan,40.7261696,-74.0013901,1.5365597001969162,12,10.671987061656782
House for sale,859000,3,2.0,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.621997,-73.905326,13.192582086905496,11,7.459194542994939
Co-op for sale,160000,3,1.0,2184.207862,"Corona, NY 11368",New York,Queens County,Queens,Corona,40.7376451,-73.8581248,12.763841233002442,6,26.68397744512747
Co-op for sale,750000,1,1.0,750.0,"New York, NY 10024",New York,New York County,New York,Manhattan,40.7840294,-73.9767127,8.2957157379062,0,27.77221896955223
Co-op for sale,995000,2,2.0,2184.207862,"Manhattan, NY 10011",New York,New York County,New York,Manhattan,40.747844,-74.00189,3.912079541944771,12,9.60767613168326
Multi-family home for sale,699000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11226",United States,New York,Kings County,Brooklyn,40.6418865,-73.9479336,9.281952231811907,11,5.329592371099837
Co-op for sale,700000,4,1.0,1500.0,"New York, NY 10027",New York,New York County,New York,Manhattan,40.808177,-73.9559355,11.412961987061642,14,7.47938871852929
Foreclosure,499000,4,2.0,1428.0,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6618245,-73.890638,11.257998398088356,1,5.331190246612186
